Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Google Cloud Database Engineer Specialization,Information Technology,Cloud Computing,"Cloud Platforms, Cloud Storage, Google Cloud Platform, Google Compute Engine, Google App Engine (GAE), Cloud Computing, MySQL, cloud sql, SQL Operations, Database (DBMS), Data Management, Postgresql,",4.7,99.0,Coursera,,
Architecting with Google Compute Engine Specialization,Information Technology,Cloud Computing,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling,",4.7,26329.0,Coursera,,
Global Procurement and Sourcing Specialization,Business,Leadership and Management,"Negotiation, Contracts,",4.7,1323.0,Coursera,,
Entrepreneurship: Growing Your Business Specialization,Business,Business Strategy,"Entrepreneurship, Leadership & Management, Innovation, Finance, HR Tech, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Leadership, Business Ethics, Ethical Leadership,",4.8,932.0,Coursera,,
Six Sigma Yellow Belt Specialization,Business,Leadership and Management,"Project Management, Lean Six Sigma, Binomial Distribution, Six Sigma, Process Improvement, Lean Methods, Statistics, Data Analysis, Causality,",4.7,6678.0,Coursera,,
The DIY Musician Specialization,Arts and Humanities,Music and Art,"Crowdfunding, Music production, Social Media, Songwriting, Music recording, Music, Poetry, Audio Production, MIDI, Pro Tools, Music business, Marketing,",4.7,426.0,Coursera,,
Algorithms Specialization,Computer Science,Algorithms,"Algorithms, Dynamic Programming, Greedy Algorithm, Divide And Conquer Algorithms, Randomized Algorithm, Sorting Algorithm, Graphs, Data Structure, Hash Table, Spanning Tree, Np-Completeness,",4.8,5381.0,Coursera,,
"Influencing: Storytelling, Change Management and Governance Specialization",Business,Leadership and Management,"Change Management, Communication, Negotiation, Risk governance,",4.7,1173.0,Coursera,,
Applied Data Science with R Specialization,Data Science,Data Analysis,"Shiny Dashboards, Data Analysis and Modelling, R Programmin Language, Data Visualization (DataViz), SQL & RDBMS, Data Science, R Programming, Select (Sql), Relational Databases (RDBMS), Data Analysis, Statistical Analysis, Linear Regression,",4.5,90.0,Coursera,,
Geographic Information Systems  (GIS) Specialization,Data Science,Data Analysis,"Geographic Information System (GIS), Satellite, Imagery Analysis, Model Building, spatial visualization, Spatial Analysis, Data Analysis, Data Visualization (DataViz), Software, Analytics, Workflow, Data Management,",4.8,5458.0,Coursera,,
